Loss,Complexity,Equations,Intercepts,Coefficients,Score,final
0.0057161986,0.0,"['v', 'y', 'u']",0.7504255771636963,"[-0.781898021697998, 0.6972785592079163, -0.31630897521972656]",0.9974159,-0.7819*v + 0.6973*y + -0.3163*u + 0.7504
0.005716197,1.0,"['y', 'v', 'u']",0.7504255175590515,"[0.6972776651382446, -0.7818979620933533, -0.3163088858127594]",0.9974159,0.6973*y + -0.7819*v + -0.3163*u + 0.7504
0.005716196,2.0,"['v', '(y+1)', 'u']",0.05314711108803749,"[-0.781898021697998, 0.6972784399986267, -0.31630900502204895]",0.9974159,-0.7819*v + 0.6973*(y+1) + -0.3163*u + 0.0531
0.0056824517,3.0,"['v', '(y+(y)**2)', 'u']",0.7516738176345825,"[-0.779769241809845, 0.6016426086425781, -0.3159988522529602]",0.99744636,-0.7798*v + 0.6016*(y+(y)**2) + -0.3160*u + 0.7517
0.005648564,7.33985,"['v', 'y', '(u+(y/u))']",0.7735647559165955,"[-0.7782249450683594, 1.141000509262085, -0.34928980469703674]",0.9974767,-0.7782*v + 1.1410*y + -0.3493*(u+(y/u)) + 0.7736
0.005648561,9.339849,"['v', '(y+1)', '(u+(y/u))']",-0.3674355149269104,"[-0.7782249450683594, 1.1410002708435059, -0.34928980469703674]",0.9974767,-0.7782*v + 1.1410*(y+1) + -0.3493*(u+(y/u)) - 0.3674
0.0054562325,10.339849,"['(y/(y+1))', '(u+(y/u))', 'v']",0.7721375823020935,"[1.3266582489013672, -0.35060402750968933, -0.7826085090637207]",0.9976456,1.3267*(y/(y+1)) + -0.3506*(u+(y/u)) + -0.7826*v + 0.7721
0.005313832,11.094738,"['(v/(v+1))', 'y', '(u+(v)**2)']",0.7623401284217834,"[-0.9942689538002014, 0.6978742480278015, -0.31164437532424927]",0.9977669,-0.9943*(v/(v+1)) + 0.6979*y + -0.3116*(u+(v)**2) + 0.7623
0.00531383,13.094737,"['(v/(v+1))', '(y+1)', '(u+(v)**2)']",0.06446586549282074,"[-0.9942689538002014, 0.6978742480278015, -0.31164437532424927]",0.9977669,-0.9943*(v/(v+1)) + 0.6979*(y+1) + -0.3116*(u+(v)**2) + 0.0645
0.004881907,13.094738,"['(v/(v+1))', 'y', '(v+(u)**2)']",0.6230605244636536,"[-1.1951926946640015, 0.665188193321228, -0.12452384829521179]",0.9981152,-1.1952*(v/(v+1)) + 0.6652*y + -0.1245*(v+(u)**2) + 0.6231
0.0047695036,16.094738,"['(v/(v+1))', '(y+(y)**2)', '(v+(u)**2)']",0.6243084073066711,"[-1.1914488077163696, 0.5747325420379639, -0.12452994287014008]",0.99820095,-1.1914*(v/(v+1)) + 0.5747*(y+(y)**2) + -0.1245*(v+(u)**2) + 0.6243
0.0036051406,25.189474,"['(v+(v/(y+1)))', '(u+((u+y)+(u)**2))', '(y+((v)**2/(v+y)))']",0.6626585721969604,"[-0.8974648118019104, -0.06999048590660095, 1.020013451576233]",0.9989721,-0.8975*(v+(v/(y+1))) + -0.0700*(u+((u+y)+(u)**2)) + 1.0200*(y+((v)**2/(v+y))) + 0.6627
0.0022303828,32.754887,"['(u+v)', '(v+(((u+y)/(u+v))/(u+(y+1))))', '(v+((u+y)/(u+v)))']",0.32580047845840454,"[-0.49837005138397217, -0.972389280796051, 1.1063963174819946]",0.9996066,-0.4984*(u+v) + -0.9724*(v+(((u+y)/(u+v))/(u+(y+1)))) + 1.1064*(v+((u+y)/(u+v))) + 0.3258
0.002211563,33.754887,"['(u+v)', '(u+(((u+y)/(u+v))/(u+(y+1))))', '(u+((u+y)/(u+v)))']",0.4740394949913025,"[-0.4202280640602112, -1.40598464012146, 1.250314712524414]",0.99961317,-0.4202*(u+v) + -1.4060*(u+(((u+y)/(u+v))/(u+(y+1)))) + 1.2503*(u+((u+y)/(u+v))) + 0.4740
0.0020283316,66.53609,"['(((u+y)/(u+v))/((v+1)/(y+1)))', '((v)**2/(v+y))', '((u+y)+(u)**2)']",0.26158663630485535,"[0.38610658049583435, -0.3978312015533447, -0.0902114063501358]",0.9996746,0.3861*(((u+y)/(u+v))/((v+1)/(y+1))) + -0.3978*((v)**2/(v+y)) + -0.0902*((u+y)+(u)**2) + 0.2616
0.0015997807,75.62407,"['(((u+y)/(u+v))/((v+1)/(y+1)))', '(((v+1)/(y+1))+((v)**2/(v+y)))', '(v+((u+y)+(u)**2))']",0.4685397148132324,"[0.3471147418022156, -0.17206959426403046, -0.09013256430625916]",0.9997976,0.3471*(((u+y)/(u+v))/((v+1)/(y+1))) + -0.1721*(((v+1)/(y+1))+((v)**2/(v+y))) + -0.0901*(v+((u+y)+(u)**2)) + 0.4685
