Loss,Complexity,Equations,Intercepts,Coefficients,Score,final
0.038139682,0.0,u,0.3535993695259094,"[-0.03219667077064514, nan, nan]",0.9084969,-0.0322*u + 0.3536
0.008354685,2.0,"['v', 'u']",0.7760035991668701,"[-0.35983094573020935, -0.7872354388237, nan]",0.9956092,-0.3598*v + -0.7872*u + 0.7760
0.0036026887,3.0,"['(u)**2', 'u', 'v']",0.6309526562690735,"[-0.10563305020332336, -0.5362644791603088, -0.32737135887145996]",0.99918354,-0.1056*(u)**2 + -0.5363*u + -0.3274*v + 0.6310
0.003602688,4.0,"['(u+(u)**2)', 'u', 'v']",0.6309528350830078,"[-0.10563302040100098, -0.4306316673755646, -0.3273714482784271]",0.99918354,-0.1056*(u+(u)**2) + -0.4306*u + -0.3274*v + 0.6310
0.0036026828,6.0,"['(u)**2', '(u+(u)**2)', 'v']",0.6309524774551392,"[0.43063080310821533, -0.536264181137085, -0.3273712992668152]",0.99918354,0.4306*(u)**2 + -0.5363*(u+(u)**2) + -0.3274*v + 0.6310
0.0035851088,7.7548876,"['(u)**2', '(u+(y)**2)', 'v']",0.6218550205230713,"[-0.11619574576616287, -0.507636308670044, -0.33230623602867126]",0.99919146,-0.1162*(u)**2 + -0.5076*(u+(y)**2) + -0.3323*v + 0.6219
0.0034143832,8.754888,"['(u)**2', 'u', '(v+(y)**2)']",0.6270885467529297,"[-0.11111260950565338, -0.5210564732551575, -0.33109620213508606]",0.9992667,-0.1111*(u)**2 + -0.5211*u + -0.3311*(v+(y)**2) + 0.6271
0.0034143801,9.754888,"['(u)**2', '(u+(u)**2)', '(v+(y)**2)']",0.6270883083343506,"[0.4099433422088623, -0.5210561752319336, -0.3310961425304413]",0.9992667,0.4099*(u)**2 + -0.5211*(u+(u)**2) + -0.3311*(v+(y)**2) + 0.6271
0.003404302,11.509775,"['(v+(u)**2)', 'u', '(v+(y)**2)']",0.6289471387863159,"[-0.10901899635791779, -0.526877760887146, -0.2210937887430191]",0.999271,-0.1090*(v+(u)**2) + -0.5269*u + -0.2211*(v+(y)**2) + 0.6289
0.0033691758,12.509775,"['(u+(u)**2)', '(u+y)', '(v+u)']",0.6212351322174072,"[-0.11662208288908005, -0.06162014976143837, -0.32926324009895325]",0.99928594,-0.1166*(u+(u)**2) + -0.0616*(u+y) + -0.3293*(v+u) + 0.6212
0.0033301704,13.0,"['((u)**2/(u+1))', '(y+1)', 'v']",0.5604966878890991,"[-1.0092136859893799, -0.058403730392456055, -0.33192530274391174]",0.9993024,-1.0092*((u)**2/(u+1)) + -0.0584*(y+1) + -0.3319*v + 0.5605
0.0033281425,13.094737,"['(u+(u+v))', '(u)**2', '(y+((u)**-1))']",0.7728316783905029,"[-0.3306402564048767, -0.06959046423435211, -0.04641733318567276]",0.9993032,-0.3306*(u+(u+v)) + -0.0696*(u)**2 + -0.0464*(y+((u)**-1)) + 0.7728
0.003098535,16.754887,"['((u)**2/(u+1))', '((v)**-1)', '(v+(y)**2)']",0.48598694801330566,"[-1.007352590560913, 0.001269745291210711, -0.31532782316207886]",0.9993961,-1.0074*((u)**2/(u+1)) + 0.0013*((v)**-1) + -0.3153*(v+(y)**2) + 0.4860
0.003077502,19.509775,"['((u)**2/(u+1))', '(v+(y)**2)', '(y/v)']",0.48941272497177124,"[-1.0081175565719604, -0.3182131350040436, 0.007837478071451187]",0.99940425,-1.0081*((u)**2/(u+1)) + -0.3182*(v+(y)**2) + 0.0078*(y/v) + 0.4894
0.002984238,22.754887,"['((u)**2/(u+1))', '(((v)**-1)/u)', '(v+(y)**2)']",0.47411686182022095,"[-0.9941919445991516, 0.0016073238803073764, -0.30603522062301636]",0.9994398,-0.9942*((u)**2/(u+1)) + 0.0016*(((v)**-1)/u) + -0.3060*(v+(y)**2) + 0.4741
0.0029328389,32.441345,"['(u+(u)**2)', '((u+y)/((v)**-1))', '((u+1)/(u+v))']",0.09254945814609528,"[-0.20057184994220734, -0.1255010962486267, 0.15418684482574463]",0.9994589,-0.2006*(u+(u)**2) + -0.1255*((u+y)/((v)**-1)) + 0.1542*((u+1)/(u+v)) + 0.0925
0.002547628,37.518158,"['(v+(((u)**-1)/(u+v)))', '(u+(u+y))', '((u+y)/(u+v))']",0.4764783978462219,"[-0.07000426948070526, -0.44319114089012146, 0.4903910160064697]",0.9995917,-0.0700*(v+(((u)**-1)/(u+v))) + -0.4432*(u+(u+y)) + 0.4904*((u+y)/(u+v)) + 0.4765
0.0023818025,40.78795,"['(((u)**-1)/(y+1))', '((u+y)/(u+v))', '(u+(u+(y/u)))']",0.494659423828125,"[-0.08520612120628357, 0.489723801612854, -0.4513220489025116]",0.99964315,-0.0852*(((u)**-1)/(y+1)) + 0.4897*((u+y)/(u+v)) + -0.4513*(u+(u+(y/u))) + 0.4947
0.0022679816,53.3594,"['((((u)**-1)/(u+v))+(u+(y/u)))', '(u+((u+y)/(u+v)))', '(u+((u+y)+(u+1)))']",0.8488315939903259,"[-0.0664215013384819, 0.590736985206604, -0.47090843319892883]",0.9996764,-0.0664*((((u)**-1)/(u+v))+(u+(y/u))) + 0.5907*(u+((u+y)/(u+v))) + -0.4709*(u+((u+y)+(u+1))) + 0.8488
