rmse_train,r2_train,rmse_ext_x0,r2_ext_x0,method,selection
0.02593412483000902,0.9754011322116938,0.03534784425321646,0.9656764200046728,SyMANTIC-L1,Utopia
0.023347447248229,0.9800634167718761,0.03257821158532154,0.9708444530786028,SyMANTIC-L1,Highest Accuracy
0.019839066131846245,0.985604910325541,0.026698378013643043,0.9804189277851634,SyMANTIC-L0,Utopia
0.01856687654581076,0.9873919006045525,0.02483231699056789,0.983060476079632,SyMANTIC-L0,Highest Accuracy
0.018954907112430947,0.9868593984890337,0.027932432070944306,0.97856693820813,SINDy,Utopia
0.019690883877260066,0.9858191472809614,0.029069138849872438,0.9767870120394807,NODE,Utopia
