Model,Complexity,Gradient R2,Train RMSE,Train R2,Test RMSE,Test R2,Equation
NODE (Teacher),,1.0,0.019690883877260066,0.9858191472809614,0.029069138849872438,0.9767870120394807,
"C=10.5, R2=0.946",10.509775161743164,0.9464655518531799,0.007575768755265779,0.9979009376264931,0.010374832513116989,0.9970431526636685,-0.11592970788478851318*(u*v) + -0.05919099599123001099*(v-y) + -0.22430892288684844971*v + 0.10321108251810073853
"C=96.1, R2=0.971",96.12677001953125,0.9707505702972412,0.0059662831723434374,0.9986980939399546,0.008176851725812803,0.9981632969014406,-0.05415673181414604187*(((v/u)/((y)^2))/((u+y)/((y)^2))) + -0.50735098123550415039*(v/((v+y)/((v)^2))) + -0.20709262788295745850*(((u+v)*(u/v))/((u+y)/((v)^2))) + 0.09674911946058273315
"C=101.8, R2=0.982",101.82522583007812,0.9822905659675598,0.0056215966501608145,0.9988441771182237,0.007732060501976297,0.9983576821968229,-0.36833155155181884766*(v/((v+y)/((v)^2))) + -0.16819614171981811523*(((u+v)*(u/v))/((u+y)/((v)^2))) + -0.13296978175640106201*(((u+v)*((y)**-1))/((u+y)/(v*y))) + 0.10454950481653213501
"C=228.9, R2=0.991",228.90826416015625,0.9911502003669739,0.005363361338584508,0.9989479266040355,0.007610352054370273,0.9984089779124717,-0.11082927137613296509*(((u/(v-y))*((u+v)/(v-y)))/(((u+y)/(v-y))*(((v)**-1)/(v-y)))) + -0.11288624256849288940*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*(((v)**-1)/(v-y)))) + -0.03286286443471908569*(((((u+v)/(v-y)))^2)/(((u+y)/(v-y))*((u-v)/(v-y)))) + 0.13710004091262817383
