Loss,Complexity,R2,Equation
0.12815759575122448,0.0,0.0,0.10768611952662469
0.12334722990394875,1.0,0.07366068054539465,0.01460381770240058545*w + 0.04490560318425505792
0.12334722990394875,2.0,0.07366068054539465,0.01460381770240058545*(w+1) + 0.03030178548185445686
0.12334722990394875,3.0,0.07366068054539465,0.00730190885120028665*w + 0.00730190885120029099*(w+1) + 0.03760369433305479903
0.06590380303129992,4.0,0.7355568934326792,0.20993060546959307899*(w+1) + -0.02402135587246224252*(w)**2 - 0.42452103449749511999
0.034507320501622904,5.0,0.9275007068509764,-0.00040886512861332643*((w)**2)**2 + 0.02270754807294989713*(w)**2 - 0.04119287617801473123
0.03448783949400908,6.0,0.9275825422754395,-0.00496329266976001850*w + -0.00041655120492763067*((w)**2)**2 + 0.02370506161564578385*(w)**2 - 0.03643781056979719657
0.03209878684492508,7.0,0.9372680865219744,0.25124424000553158276*(w/(w)**2) + 0.36737951620186504176*w + -0.03821694983497779530*(w)**2 - 0.66246897844108321163
0.021822103110809225,8.0,0.9710062423665912,0.13948631708216746583*(w/(w)**2) + 0.15313603814703155570*w + -0.00027708852505747638*((w)**2)**2 - 0.34306323870463606429
0.021822103110809225,9.0,0.9710062423665912,0.13948631708216757685*(w/(w)**2) + 0.15313603814703158346*(w+1) + -0.00027708852505747638*((w)**2)**2 - 0.49619927685166798081
0.010882326411800949,9.339849,0.9927896757788081,0.58546684999309750452*w + -0.05399756177503026860*(w)**2 + -2.09954177875627046035*(w/(w+1)) + 0.45727382317572107251
0.010882326411800945,10.339849,0.9927896757788081,-2.09954177875627268079*(w/(w+1)) + 0.58546684999309794861*(w+1) + -0.05399756177503030330*(w)**2 - 0.12819302681737640426
0.010882326411800945,13.094737,0.9927896757788081,-2.09954177875627356897*(w/(w+1)) + 0.69346197354315830541*(w+1) + -0.05399756177503026860*((w+1))**2 - 0.18219058859240586101
0.010882326411800909,13.094738,0.9927896757788082,-2.09954177875627934213*(w/(w+1)) + 0.29273342499654897431*((w+1))**2 + -0.34673098677157926373*(w)**2 + 0.16454039817917767707
0.010882326411800909,17.094738,0.9927896757788082,-2.09954177875627934213*(w/(w+1)) + 0.29273342499654897431*((w+1))**2 + -0.34673098677157926373*(w)**2 + 0.16454039817917767707
0.00857153852861943,21.0,0.9955266913944998,-0.78425445493729017965*(((w)**2)**2/((w+1))**2) + 0.72601633477501037461*(w)**2 + -0.91592556165130556423*w + 0.33154007117681272288
0.008571538528619414,22.0,0.9955266913944998,-0.78425445493729029067*(((w)**2)**2/((w+1))**2) + 0.72601633477501048564*(w)**2 + -0.91592556165130578627*(w+1) + 1.24746563282812283902
0.008571538528619327,24.754887,0.9955266913944999,-0.78425445493729084578*(((w)**2)**2/((w+1))**2) + 0.72601633477501126279*((w+1))**2 + -2.36795823120133075435*(w+1) + 1.97348196760314076315
0.008168579214553622,28.0,0.9959373973534283,-1.95108815991520390121*((w)**2/((w+1))**2) + -0.74685354013112437155*(w/((w+1)/(w)**2)) + 0.68274999198552777102*(w)**2 + 0.13427966616154343726
