noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.0,NODE,9.874441157016323e-05,0.009937022268776659,0.999982584253298,0.0005254040277151868,0.022921693386728365,0.9999220200318144,1.120025131793852,1.0583123980157523,0.33009661290354064
0.0,SINDy,0.006312388454798887,0.07945054093458953,0.9988866715932041,0.049535477328975536,0.2225656696999237,0.9926479913696752,0.23582233531320307,0.4856154191468832,0.8589512175264398
0.0,SyMANTIC,0.0004619602737451889,0.021493261124017195,0.9999185231550222,0.004631526481698222,0.06805531927555862,0.9993125932260856,0.00018372703659234115,0.013554594667209386,0.999890110176441
0.02,NODE,6.253776809251867e-05,0.0079080824535736,0.9999889700904477,0.00024292886024902387,0.015586175292515604,0.9999639447286387,0.8738446579753087,0.9347965864161618,0.4773407492774444
0.02,SINDy,0.006309609975318527,0.07943305341807355,0.9988871616391123,0.0493830125245047,0.22222288929024547,0.992670620051556,0.2329096534245245,0.48260714191205717,0.8606933350980652
0.02,SyMANTIC,0.0004244969352221282,0.020603323402357404,0.9999251306379566,0.004033680503932173,0.06351126281166336,0.9994013249598882,0.00018008023668679202,0.01341939777660652,0.9998922913807189
0.05,NODE,0.00013353580866199777,0.011555769496749135,0.9999764480259458,0.000614339553369391,0.02478587406910216,0.9999088203053274,0.8320582988819666,0.9121722967082296,0.5023337808589992
0.05,SINDy,0.006612204534318701,0.0813154630701855,0.9988337924396897,0.05262262456541323,0.22939621741740474,0.9921897999006672,0.22107396574585156,0.4701850335196257,0.867772432735687
0.05,SyMANTIC,0.0005464142725937342,0.02337550582540909,0.9999036278366084,0.005200564109204932,0.07211493679678942,0.9992281372003442,9.865197992493826e-05,0.009932370307481404,0.9999409948101882
0.1,NODE,0.00026415716155910805,0.01625291240236986,0.9999534100802052,0.0018411332054948523,0.04290842814057458,0.99972674075337,1.09999748206194,1.0488076477895936,0.34207544267274526
0.1,SINDy,0.006636640037085374,0.08146557577949949,0.9988294827018529,0.05114145356359704,0.2261447624058471,0.992409633897946,0.21923876365446518,0.46822939213003834,0.8688700939060727
0.1,SyMANTIC,0.0008086026581043959,0.028435939550231076,0.9998573851537299,0.007182513548993198,0.08474971120300763,0.9989339781415867,0.0008219010308169475,0.028668816348376636,0.9995084089912156
