Loss,Complexity,R2,Equation
0.1282214204917997,0.0,0.0,0.10713878389447927
0.12354034476787999,1.0,0.0716826865939102,0.01441725259643221804*w + 0.04517325270865343162
0.12354034476787999,2.0,0.0716826865939102,0.01441725259643222498*(w+1) + 0.03075600011222116847
0.12354034476787999,3.0,0.0716826865939102,0.00720862629821610815*w + 0.00720862629821610642*(w+1) + 0.03796462641043733821
0.06543820207775315,4.0,0.7395396922779336,0.21088493432498300884*(w+1) + -0.02416561218704486175*(w)**2 - 0.42670798432717127469
0.03389332429639769,5.0,0.9301273577818164,-0.00041016937023916869*((w)**2)**2 + 0.02273940395074445023*(w)**2 - 0.04134802977244696198
0.033882677670557255,6.0,0.9301712479020596,-0.00364139153696016763*w + -0.00041580937501734650*((w)**2)**2 + 0.02347123125295978371*(w)**2 - 0.03785849098251360678
0.03235744992390028,7.0,0.9363164290542041,0.24955388352811280761*(w/(w)**2) + 0.36686457611950601398*w + -0.03822669196957705767*(w)**2 - 0.65977498993477801115
0.021743231676871016,8.0,0.9712440964062162,0.15260699845232700289*w + -0.00027734236666023958*((w)**2)**2 + 0.13751290998866161353*(w/(w)**2) - 0.34023983789670275701
0.021743231676871016,9.0,0.9712440964062162,0.15260699845232714167*(w+1) + 0.13751290998866180781*(w/(w)**2) + -0.00027734236666023969*((w)**2)**2 - 0.49284683634903059257
0.011384299974730304,9.339849,0.9921170005928022,0.58385306267988756890*w + -0.05393494936080150265*(w)**2 + -2.08669700110451339370*(w/(w+1)) + 0.45257015014909729445
0.011384299974730299,10.339849,0.9921170005928022,0.58385306267988779094*(w+1) + -0.05393494936080154428*(w)**2 + -2.08669700110451339370*(w/(w+1)) - 0.13128291253079105161
0.011384299974730297,13.0,0.9921170005928022,-1.50284393842462438151*w + 2.08669700110451250552*((w)**2/(w+1)) + -0.05393494936080150265*(w)**2 + 0.45257015014909218742
0.011384299974730264,13.094737,0.9921170005928022,-0.34586148070074557159*(w)**2 + -2.08669700110451383779*(w/(w+1)) + 0.29192653133994406200*((w+1))**2 + 0.16064361880915067893
0.01138429997473026,13.094738,0.9921170005928022,-2.08669700110452227548*(w/(w+1)) + 0.29192653133994395098*((w+1))**2 + -0.34586148070074551608*(w)**2 + 0.16064361880915911662
0.01138429997473026,17.094738,0.9921170005928022,-2.08669700110452227548*(w/(w+1)) + 0.29192653133994395098*((w+1))**2 + -0.34586148070074551608*(w)**2 + 0.16064361880915911662
0.01138429997473026,18.094738,0.9921170005928022,-2.08669700110452227548*(w/(w+1)) + 0.29192653133994395098*((w+1))**2 + -0.34586148070074551608*(w)**2 + 0.16064361880915911662
0.010658362810372305,19.0,0.993090289827257,-2.95815133601217894466*((w)**2/((w+1))**2) + 0.82217929010748214136*w + -0.06874964103223893397*(w)**2 - 0.04874588681942949864
0.008953039048639873,21.0,0.9951244929407297,-0.77970719012052847052*(((w)**2)**2/((w+1))**2) + 0.72154316238933247085*(w)**2 + -0.90868128511207657549*w + 0.32771349066578125964
0.008953039048639873,22.0,0.9951244929407297,-0.77970719012052847052*(((w)**2)**2/((w+1))**2) + 0.72154316238933247085*(w)**2 + -0.90868128511207657549*w + 0.32771349066578125964
0.008953039048639873,23.0,0.9951244929407297,-0.77970719012052847052*(((w)**2)**2/((w+1))**2) + 0.72154316238933247085*(w)**2 + -0.90868128511207657549*w + 0.32771349066578125964
0.008953039048639845,25.0,0.9951244929407297,-0.77970719012052780439*(((w)**2)**2/((w+1))**2) + 0.72154316238933191574*(w/(w/(w)**2)) + -0.90868128511207635345*w + 0.32771349066577770692
0.008953039048639845,26.0,0.9951244929407297,-0.77970719012052780439*(((w)**2)**2/((w+1))**2) + 0.72154316238933191574*(w/(w/(w)**2)) + -0.90868128511207635345*w + 0.32771349066577770692
0.008953039048639845,27.0,0.9951244929407297,-0.77970719012052780439*(((w)**2)**2/((w+1))**2) + 0.72154316238933191574*(w/(w/(w)**2)) + -0.90868128511207635345*w + 0.32771349066577770692
0.008094800617615286,28.0,0.9960144235453195,-1.93889224178889962857*((w)**2/((w+1))**2) + -0.74469919500751557973*(w/((w+1)/(w)**2)) + 0.68068235954494049622*(w)**2 + 0.13215933641337884730
0.00809480061761494,30.0,0.9960144235453199,-1.93889224178892893846*(((w)**2)**2/((w+1))**2) + 3.13308528857034174209*(w/((w+1)/(w)**2)) + -1.25820988224398888633*(w)**2 + 0.13215933641344634886
0.007955903391785348,30.754887,0.9961500256686479,-1.78004566935184982412*((w)**2/((w+1))**2) + -0.06324793441579026898*((w+1))**2 + 0.85873756245704579992*((w)**2/(w+1)) + 0.22298623976185250051
0.007955903391785334,34.754887,0.9961500256686479,-1.78004566935185382093*((w)**2/((w+1))**2) + -0.06324793441579028286*((w+1))**2 + 0.85873756245704646606*(w/((w+1)/w)) + 0.22298623976185294460
0.00795590339178533,38.754887,0.9961500256686479,-1.78004566935185515320*(((w)**2/(w+1))/(w+1)) + -0.06324793441579026898*((w+1))**2 + 0.85873756245704613299*(w/((w+1)/w)) + 0.22298623976185427686
0.0062996099423163485,79.0,0.9975861729391987,-16.07947290812640872559*((((w)**2/(w+1))/((w+1))**2)/(((w+1))**2/(w)**2)) + 3.72147865141256239951*(((w)**2/(w+1))/((w+1)/(w/(w+1)))) + -0.03355253814246096644*((w)**2/(((w+1))**2/(w)**2)) + 0.01276403610542618805
