Loss,Complexity,R2,Equation
0.12762689907907523,0.0,0.0,0.10466008071880788
0.12287423437179232,1.0,0.07309075315745817,0.01448856331196906287*w + 0.04233350562223553437
0.12287423437179232,2.0,0.07309075315745817,0.00724428165598452797*w + 0.00724428165598452970*w + 0.04233350562223555519
0.06586842311490022,3.0,0.7336393301780328,0.20802605289168335512*w + -0.02379294949438292769*(w)**2 - 0.21498510901605788481
0.06586842311490022,4.0,0.7336393301780328,0.20802605289168329961*(w+1) + -0.02379294949438292769*(w)**2 - 0.42301116190774074033
0.035245754796267216,5.0,0.9237343113337313,-0.00040366179147262749*((w)**2)**2 + 0.02245361400392621720*(w)**2 - 0.04309959827271188371
0.03524466978274394,6.0,0.9237390068228961,-0.00116647392230383781*w + -0.00040545783265556962*((w)**2)**2 + 0.02268756872200076644*(w)**2 - 0.04198002644237631975
0.03524466978274394,7.0,0.9237390068228961,-0.00116647392230382892*(w+1) + -0.00040545783265556973*((w)**2)**2 + 0.02268756872200077337*(w)**2 - 0.04081355252007258516
0.029079605333724157,8.0,0.9480850331300282,0.08548536614344401374*(w/(w)**2) + 0.13667580464804018892*w + -0.00025707578571699169*((w)**2)**2 - 0.27145325359619326688
0.029079605333724154,9.0,0.9480850331300283,0.08548536614344377782*(w/(w)**2) + -0.00025707578571699147*((w)**2)**2 + 0.13667580464804005014*(w+1) - 0.40812905824423256762
0.015356082449171457,9.339849,0.9855230712935918,-1.93705576472029861179*(w/(w+1)) + -0.05187446692158847322*(w)**2 + 0.55855747318664961121*w + 0.39709852727550859486
0.015356082449171455,10.339849,0.9855230712935918,-1.93705576472029861179*(w/(w+1)) + -0.05187446692158847322*(w)**2 + 0.55855747318664961121*(w+1) - 0.16145894591114079430
0.015356082449171438,13.094737,0.9855230712935918,-0.33115320351491306372*(w)**2 + -1.93705576472029616930*(w/(w+1)) + 0.27927873659332452805*((w+1))**2 + 0.11781979068218699502
0.015356082449171433,17.094738,0.9855230712935918,-0.33115320351491295270*(w)**2 + 0.27927873659332441703*((w+1))**2 + -1.93705576472029594726*(w/(w+1)) + 0.11781979068218655093
0.012120493800494622,19.0,0.9909810455674448,-2.92158217671221009937*((w)**2/((w+1))**2) + 0.81253354769079721986*w + -0.06789892346432539749*(w)**2 - 0.05141029021173677827
0.012078362323880371,21.0,0.9910436373158477,-0.73934536086175672853*(((w)**2)**2/((w+1))**2) + -0.85010072557206961541*w + 0.68295421135700074000*(w)**2 + 0.29365611354414761225
0.012078362323880371,23.0,0.9910436373158477,-0.73934536086175672853*(((w)**2)**2/((w+1))**2) + -0.85010072557206961541*w + 0.68295421135700074000*(w)**2 + 0.29365611354414761225
0.01207836232388029,23.754887,0.9910436373158478,-0.73934536086175484115*(((w)**2)**2/((w+1))**2) + 0.68295421135699907467*((w+1))**2 + -2.21600914828606532225*w - 0.38929809781285190651
0.009745401388884724,28.0,0.9941693761086859,-1.51642458125631107713*((w)**2/((w+1))**2) + -0.36459605232558739418*(((w)**2)**2/((w+1))**2) + 0.30183416281803820969*(w)**2 + 0.12073505040278424694
0.009745401388884724,29.0,0.9941693761086859,-1.51642458125631107713*((w)**2/((w+1))**2) + -0.36459605232558739418*(((w)**2)**2/((w+1))**2) + 0.30183416281803820969*(w)**2 + 0.12073505040278424694
0.009745401388884549,30.0,0.9941693761086862,-1.88102063358188265063*(((w)**2)**2/((w+1))**2) + 3.03284916251258973574*(w/((w+1)/(w)**2)) + -1.21459041843825787943*(w)**2 + 0.12073505040281355682
0.009745401388884549,31.0,0.9941693761086862,-1.88102063358188265063*(((w)**2)**2/((w+1))**2) + 3.03284916251258973574*(w/((w+1)/(w)**2)) + -1.21459041843825787943*(w)**2 + 0.12073505040281355682
0.009745401388884549,32.0,0.9941693761086862,-1.88102063358188265063*(((w)**2)**2/((w+1))**2) + 3.03284916251258973574*(w/((w+1)/(w)**2)) + -1.21459041843825787943*(w)**2 + 0.12073505040281355682
0.009745401388884096,34.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,35.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,36.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,37.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,38.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,39.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,40.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,42.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.009745401388884096,43.0,0.9941693761086867,-1.88102063358188886788*(((w)**2)**2/((w+1))**2) + 3.03284916251260039388*(w/((w+1)/(w)**2)) + -1.21459041843826232032*(w/(w/(w)**2)) + 0.12073505040280645140
0.008185214129946038,64.0,0.9958868395068827,21.53778461661622500856*(((w/(w+1))/((w+1))**2))**2 + -0.13599212879502253770*(((w)**2/(w+1))/((w+1)/(w)**2)) + 0.08459826453171684357*((w+1)/(((w)**2/w)/((w+1))**2)) - 1.02042932195889890501
0.00737580518516066,79.0,0.9966600924940839,-15.94410054456750636120*((((w)**2/(w+1))/((w+1))**2)/(((w+1))**2/(w)**2)) + 3.68951170073559531204*(((w)**2/(w+1))/((w+1)/(w/(w+1)))) + -0.03319567587817656706*((w)**2/(((w+1))**2/(w)**2)) + 0.01023658218230676098
0.005894887578034361,83.0,0.9978666278601521,-26.75429001153469243945*((((w)**2/(w+1))/((w+1))**2)/(((w+1))**2/(w)**2)) + 8.54437123652206942381*(((w)**2/(w+1))/((w+1)/(w/(w+1)))) + -0.60896051944908391462*((w)**2/((w)**2/((w)**2/(w+1)))) + 0.03051911527105115318
