noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.01,NODE,2.4879143476383704e-05,0.004987899705926705,0.9986785453961146,1.7359628908383397e-06,0.001317559444897398,0.9781814882955675,4.035006751707162e-05,0.006352170299753591,0.9977075438451303
0.01,SINDy,2.5068425798712876e-05,0.005006837904177933,0.998668491673947,1.5539578980533133e-06,0.0012465784764920792,0.9804690245593338,3.961581720335853e-05,0.0062941097228566435,0.9977492596774563
0.01,SyMANTIC,5.3447726888328274e-05,0.007310795229544339,0.9971611263534519,3.6513123360567225e-05,0.006042608986238248,0.5410835026414672,0.00010004648697448909,0.010002324078657374,0.9943159404940097
0.025,NODE,2.4861056907799648e-05,0.004986086331763585,0.9986795060634038,1.9153392998172263e-06,0.001383957838887163,0.9759269894814167,4.1043164524554076e-05,0.0064064939338575886,0.9976681661043111
0.025,SINDy,2.6019728565910106e-05,0.005100953691802162,0.9986179632695993,2.12493046119047e-06,0.0014577141219012971,0.9732927354707452,4.1460176587244243e-05,0.006438957725225741,0.9976444739043075
0.025,SyMANTIC,5.3310101368762644e-05,0.007301376676268842,0.9971684363268284,3.366593170667328e-05,0.005802235061308124,0.5768685328129632,9.887496047725752e-05,0.0099435889133279,0.9943824998158258
0.05,NODE,2.511748530944815e-05,0.005011734760484452,0.9986658858802071,2.5438854545009716e-06,0.0015949562547295684,0.968027084647552,4.151582013104517e-05,0.006443277126668165,0.9976413125617791
0.05,SINDy,2.64387791522838e-05,0.005141865337820877,0.9985957054162632,2.022532717293949e-06,0.001422157768074256,0.9745797251785925,4.133152506352405e-05,0.006428959874157254,0.9976517831356306
0.05,SyMANTIC,5.359528115323302e-05,0.007320879807320498,0.9971532890152064,3.6648550349414985e-05,0.006053804617710666,0.5393813836866985,0.00010019051404413789,0.010009521169573392,0.9943077577135931
0.1,NODE,3.562416429260673e-05,0.005968598184884515,0.9981078240913428,8.798032350558683e-07,0.0009379782700339429,0.9889421615617636,5.8987008542088264e-05,0.00768030002943168,0.9966487012510585
0.1,SINDy,3.846867490010477e-05,0.006202312060845114,0.9979567380364049,1.5149205183812034e-06,0.0012308210748850554,0.9809596672624592,6.319543820997679e-05,0.007949555849855813,0.9964096027541253
0.1,SyMANTIC,6.33088351977076e-05,0.007956684937692807,0.996637354022334,3.556580200163664e-05,0.005963707068731381,0.5529899450353506,0.0001156884405941481,0.010755856106984143,0.9934272556650586
