noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.001,NODE,2.4947211854269704e-06,0.0015794686402163768,0.9998479800871931,5.646541640406577e-07,0.0007514347370468428,0.9931747927071636,5.842136873119204e-06,0.0024170512764770226,0.9996137915588442
0.001,SINDy,2.510614308796738e-06,0.0015844918140516654,0.9998470116137448,7.483224547719588e-07,0.0008650563304039563,0.9909547184790883,5.512237006836902e-06,0.002347815368983878,0.9996356003791204
0.001,SyMANTIC,3.978058759142292e-05,0.006307185393772956,0.9975759048777141,1.8729019528386432e-05,0.0043277037246542685,0.773614632081924,6.982213567178117e-05,0.008355964077937456,0.9953842406020922
0.005,NODE,8.495189294487738e-06,0.00291465080146623,0.9994823317558008,1.8794693677254904e-06,0.0013709374047437362,0.9772820801613022,1.565213238732442e-05,0.003956277592298652,0.9989652783251474
0.005,SINDy,7.832615823691988e-06,0.002798681086456974,0.999522706753154,1.1007401501352668e-06,0.0010491616415668592,0.9866949007398446,1.2981899007309104e-05,0.0036030402450304526,0.9991418004939385
0.005,SyMANTIC,4.055734694190039e-05,0.006368465038131276,0.9975285717771571,1.8794974648624283e-05,0.004335317133569848,0.7728174053964322,7.111999880282512e-05,0.008433267385943903,0.9952984422533783
0.01,NODE,1.3170887354171445e-05,0.003629171717371809,0.9991974104525719,5.479410175526635e-06,0.002340813998489977,0.9337681138790763,2.0543833440948488e-05,0.004532530578048921,0.9986419007187081
0.01,SINDy,1.244259792741043e-05,0.0035274066858544152,0.9992417899591081,4.504485423566113e-06,0.0021223773047142473,0.9455524306357814,1.7434264490553336e-05,0.004175435844382396,0.9988474662169292
0.01,SyMANTIC,4.557483827160043e-05,0.006750913884178973,0.9972228227423927,1.8408714785809447e-05,0.004290537820111769,0.7774862873431241,7.886628018969606e-05,0.008880668904406698,0.9947863557815699
