rmse_train,r2_train,rmse_ext_t,r2_ext_t,rmse_ext_x0,r2_ext_x0,case,selection
0.011543157079803225,0.9890122658731383,0.02022723504833131,0.9798334676735132,0.02016142068617592,0.9888337080952306,1,Utopia
0.011543157079803225,0.9890122658731383,0.02022723504833131,0.9798334676735132,0.02016142068617592,0.9888337080952306,1,Highest Accuracy
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,2,Utopia
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,2,Highest Accuracy
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,3,Utopia
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,3,Highest Accuracy
0.00958229420473707,0.9924282209466556,0.013655644324315923,0.9908085807156792,0.014791183502492302,0.9939900264096622,4,Utopia
0.009582295341737709,0.9924282191497753,0.013655650520572216,0.990808572374454,0.01479118604411488,0.9939900243442309,4,Highest Accuracy
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,5,Utopia
0.011605480482121766,0.9888932964049552,0.020228094202621033,0.9798317544852617,0.02017972648559911,0.9888134217572416,5,Highest Accuracy
