noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.0,NODE,1.2297710874679957e-05,0.003506809215608964,0.9994798924417461,1.406425340170792e-06,0.0011859280501661101,0.9817959665990501,2.0560311317732894e-05,0.004534347948463251,0.999080383523856
0.0,SINDy,2.641478336186235e-06,0.0016252625437713855,0.9998882838552952,9.409839486898553e-07,0.0009700432715553752,0.9878203963321454,6.536109704882736e-06,0.002556581644478176,0.9997076545154591
0.0,SyMANTIC,4.5989805534935355e-05,0.006781578395545934,0.9980549513885063,1.7831344514104378e-05,0.004222717669239133,0.7692004105392594,7.21501701729909e-05,0.008494125627337454,0.9967728851853302
0.001,NODE,1.1758924740544347e-05,0.003429128860300287,0.9995026793444064,6.202027704836057e-07,0.000787529536261089,0.9919724199879147,1.9084086380161825e-05,0.004368533664762334,0.9991464117446405
0.001,SINDy,2.0675688586333246e-06,0.0014379043287483784,0.9999125562308674,8.511990351825525e-07,0.0009226044846967484,0.9889825252541042,4.614964520656958e-06,0.0021482468481664203,0.999793583018057
0.001,SyMANTIC,4.8273371758913716e-05,0.006947904127066933,0.9979583724345068,1.6038388295433277e-05,0.0040047956621322486,0.7924074972994893,7.431164727203534e-05,0.008620420365158265,0.9966762071767937
0.005,NODE,1.679385362725673e-05,0.004098030457092374,0.9992897369036599,1.8821892715882128e-06,0.0013719290329999628,0.9756379273124156,2.824772824062348e-05,0.005314859192925386,0.9987365426572451
0.005,SINDy,7.161253469500901e-06,0.002676051843574952,0.9996971288320229,1.0508702001188104e-06,0.001025119602836084,0.9863980862143008,1.2122066029073353e-05,0.0034816757501343163,0.9994578072543275
0.005,SyMANTIC,4.8761965236531866e-05,0.006982976817699731,0.997937708331796,1.939938471745568e-05,0.00440447326220238,0.7489045189476211,8.011217253507503e-05,0.008950540348776438,0.9964167627296865
0.01,NODE,2.021245513788601e-05,0.00449582641322883,0.9991451538586967,5.486608547198418e-06,0.0023423510725761026,0.9289842109649358,3.111254811329002e-05,0.005577862324698416,0.9986084057085688
0.01,SINDy,1.1509732960726905e-05,0.003392599734823857,0.9995132184219192,4.4241863733120244e-06,0.002103374995884477,0.942735647452129,1.611238189091269e-05,0.004014023155253677,0.9992793294017864
0.01,SyMANTIC,4.894935708151227e-05,0.00699638171353681,0.9979297829613003,1.6686446677416242e-05,0.004084904732967005,0.7840193688333521,7.840129194262799e-05,0.008854450403194316,0.9964932865700709
