noise_level,method,mse_train,rmse_train,r2_train,mse_ext_t,rmse_ext_t,r2_ext_t,mse_ext_x0,rmse_ext_x0,r2_ext_x0
0.025,NODE,0.00010933536069903696,0.010456355038876451,0.9941926571587816,4.5415592568108824e-05,0.006739109182088448,0.4291924998854729,0.00019174784428063648,0.013847304585392656,0.9891060027193717
0.025,SINDy,0.00011049996258709643,0.01051189624126382,0.994130799381076,4.586561628201699e-05,0.0067724158379426904,0.4235363607358419,0.00019306095132604802,0.013894637502506066,0.9890313996142596
0.025,SyMANTIC,0.00010111561287416041,0.010055625931495284,0.9946292487004588,5.3196782701125616e-05,0.007293612458934572,0.33139433329583257,0.00017974385469908888,0.013406858494781277,0.9897879995905682
0.05,NODE,0.0003656865866522083,0.01912293352632405,0.9805765731457179,0.00036560530534614634,0.019120808177118098,-3.595123361217266,0.0006641114819294323,0.025770360531615237,0.9622690481589737
0.05,SINDy,0.0004042567335907408,0.020106136714713268,0.9785279214992958,0.0003575465730344973,0.01890890195210968,-3.493836895825318,0.0006874894005043737,0.02622001907902383,0.960940850794682
0.05,SyMANTIC,0.00044815127928297575,0.021169583824038104,0.9761964646488811,0.0006735915557868938,0.025953642437756087,-7.466059569306696,0.0007413041829175852,0.02722690182370343,0.9578834078520166
0.1,NODE,0.0007220653086726537,0.026871272926168824,0.9616475331091194,0.0008732855906575731,0.029551405899848032,-9.975921191421875,0.00126138862563202,0.03551603336004768,0.9283352346984459
0.1,SINDy,0.0007529200620994008,0.02743938887984572,0.9600086842473718,0.001145804707564641,0.03384973718604978,-13.40108746271643,0.0013509784353264878,0.036755658548398885,0.923245262778057
0.1,SyMANTIC,0.0015212354087386628,0.03900301794398304,0.9191996486382447,0.004094256437319827,0.06398637696666241,-50.45880852065381,0.0025221084959550547,0.05022059832334791,0.8567084641839771
